type,x,y,z,vx,vy,vz,K,rlin,rho_radial,constants
particle,7.29680858687498e16,-2.0798951161288134e17,1.751376411904005e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.9908608321108696e16,2.024645322731632e17,1.0744206064564677e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.2208789015904075e17,-8.007459499276782e15,5.122832695976598e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,2.0834628653744378e17,-6.359399166732994e16,-1.6483507865317802e15,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,8.769922957131069e16,4.4348984830482696e16,-7.63846822085584e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-4.007338065503567e16,4.398949386083814e16,-4.560683949178769e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-4.590202851501958e16,6.918977964020514e16,9.905976495497397e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,6.930594254408474e16,-2.913409016718352e17,3.6611499700839416e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-6.036996355327517e15,-5.812537252737455e16,-2.506816550760283e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-8.243600898033304e16,8.002651223144133e16,9.179445048274726e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-9.318874481854206e16,7.885357656211005e16,3.1376480222831588e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,2.7747999869112176e16,4.1716371118285224e16,7.13201531883328e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,3.618390593362847e16,-1.865950067979607e17,-3.902093886138798e15,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,2.213089036682614e17,-2.321704813936413e17,3.1278840376049056e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.6336504643839006e16,-9.653629953713856e16,-8.52534265877839e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.695315577707369e16,-1.5290452233371258e17,-4.198799291031595e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-8.63354791404807e16,-1.0963489078820875e17,-1.63581739136155e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-9.55371904254963e16,-3.780244585930494e16,9.000271255231398e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.932792607213966e16,3.643809166973917e16,-5.64328077789563e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.060743858926744e17,-1.4191908084261216e17,-6.3955872007452824e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.6452758616921952e17,6.153077357431376e15,6.44499648817874e15,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-6.528775964154528e16,-1.244893941535697e17,1.6200772815854157e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,6.993301816190928e16,-3.1106785917879984e16,1.0869104075254602e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-5.009172109880543e16,-2.502910213540518e15,1.4788870812721702e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.0860010255132438e17,1.0549884214207691e17,4.103437350237329e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,3.7041528054811544e16,1.0930950420522626e17,1.0274430465851616e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,4.212048718893868e16,-3.757353717201333e16,6.504418327918266e15,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.8522103061760352e17,-2.414495047153708e16,4.460654820818771e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-9.627238205444773e16,-7.418049545497934e16,-1.0507032428624539e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.4267125912856997e17,2.2187435240679693e17,-7.436096764447242e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,4.040754691279345e15,-1.0401637839145165e17,-1.661240423965834e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.3343828576792907e17,-3.4443155997809772e16,-1.7246957343392294e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.4195547864146264e17,6.204886681742297e16,2.9088375064823588e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-4.5933497562248056e16,-1.3444756564274542e17,1.4362683503862597e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.9025751874182013e17,6.6579590474736264e16,5.743978881128235e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.0468507838238923e17,4.3643582905150376e16,-2.0918578400820216e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.2491060144261187e17,-1.1208260355362829e17,2.7128587962031428e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,5.979075728565486e16,-1.9155797462781968e15,-1.968166376649244e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-2.2743729153529738e17,-4.943472133120355e15,-2.202135823274026e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-5.1426446070561384e16,6.962884075541755e14,-1.0384256090278827e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-5.717095538776866e16,1.64065233195622e17,-3.9910011120220024e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.1174644368500267e17,-7.333364356409609e15,-5.526849872710925e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.3049376284441491e17,-1.082147952587674e15,7.373379467448942e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.0163216689233032e17,-6.6505725528577144e16,-8.308031397417146e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.9889705661881228e15,3.994904485505028e16,4.584096443073727e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-9.45713379919357e16,1.166310265543356e17,-1.883358088164344e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,9.999218553699808e16,-4.706309186021285e16,-1.474269014613067e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.7040339572127517e17,5.081214291761612e16,9.239555645283227e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-4.7444798105896904e16,-1.8604893318342188e16,1.463416297079679e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,6.302702780455492e15,-2.34896617582725e17,-1.2064155400387708e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-8.387625292949315e16,7.312719344406406e16,3.618915830326862e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,4.166339553188551e16,1.4661122365226272e17,-8.469355788240952e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.498352983691045e17,2.344814899241599e15,-1.5643157948999386e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.3153657930071016e17,7.192568864813131e16,-2.2714790263141364e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.2035895119996838e16,-7.180819942597771e16,1.6018838265564928e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-8.316249905595026e16,-7.468783113698202e16,-1.4212844162452002e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-4.2495535924167016e16,6.387305628331846e16,-7.577146013572006e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.845334145862405e17,-1.0702457248328696e17,-1.0009229591208093e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,6.146394407279817e16,2.7987669712604787e17,-1.3501237542654142e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-4.070268973853413e16,-1.283115518816931e17,4.721266266353072e15,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-2.554878075692668e16,-6.457035932790711e16,1.4876023109023472e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.11523728939683e17,3.972792979808534e16,1.9759446675854496e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.3597436983147548e15,7.192411023715269e16,1.968606288945132e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.6018833382230582e17,-1.4359037757620787e17,-7.323262068710155e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,2.978071323457542e16,1.4842035221261226e17,-1.097341732094216e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.128325241702012e17,4.88853466689079e16,-3.727661811910499e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.1309431953816662e17,3.129472742393282e16,1.1427542236917882e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,7.938568630702635e16,3.2874192706088576e16,-7.869360266217053e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,9.346298615318275e16,6.971246006433909e16,2.3768497607895325e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,4.112070737536187e16,8.714878744504398e16,-1.161447295222903e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-3.554134822227175e15,-9.49938648379765e16,-1.2042235209971171e17,0.0,0.0,0.0,1.3516193866577672e21,,,
